"Plasma_lipid","Intestinal_ba","bicor","adj_pval"
"TG.48.2.FA14.0","3a7b",-0.337325456475393,0.225238039665385
"TG.48.2.FA14.1","3a7b",-0.301602141922847,0.310642600580624
"TG.48.2.FA16.0","3a7b",-0.364850175579811,0.173292990930327
"TG.48.2.FA16.1","3a7b",-0.379055140421658,0.150597421864368
"TG.48.2.FA18.0","3a7b",-0.515998813039079,0.154435520484475
"TG.48.2.FA18.1","3a7b",-0.391736128153755,0.131787987267035
"TG.48.2.FA18.2","3a7b",-0.269192068808184,0.380396637864268
"TG.48.3.FA12.0","3a7b",-0.395587796181214,0.191076776524992
"TG.48.3.FA14.0","3a7b",-0.450579321615776,0.0741568761671189
"TG.48.3.FA14.1","3a7b",-0.268213481854772,0.382748162020528
"TG.48.3.FA16.0","3a7b",-0.227956137220159,0.52544899417441
"TG.48.3.FA16.1","3a7b",-0.370237941356947,0.163720005750144
"TG.48.3.FA18.1","3a7b",-0.31782298816502,0.264432181505197
"TG.48.3.FA18.2","3a7b",-0.401769957256527,0.125524101199466
"TG.48.3.FA18.3","3a7b",-0.252214711010189,0.569628757564359
"TG.48.4.FA12.0","3a7b",0.224063410399365,0.733457343080512
"TG.48.4.FA14.0","3a7b",0,1
"TG.48.4.FA14.1","3a7b",-0.396324492862064,0.287049176121417
"TG.48.4.FA16.0","3a7b",-0.343611903860481,0.467586116712905
"TG.48.4.FA16.1","3a7b",-0.385560698843765,0.245119981576366
"TG.48.4.FA18.1","3a7b",-0.475560668589551,0.210843501541959
"TG.48.4.FA18.2","3a7b",-0.164268539623999,0.747610640546253
"TG.48.4.FA18.3","3a7b",-0.470436458541267,0.524264098090585
"TG.48.5.FA18.2","3a7b",-0.25840028526153,0.738847649874684
"TG.48.5.FA18.3","3a7b",NA,NA
"TG.49.0.FA15.0","3a7b",-0.196888093417353,0.645310866591281
"TG.49.0.FA16.0","3a7b",-0.232707044114125,0.481219996877532
"TG.49.0.FA17.0","3a7b",-0.336305240618772,0.236450801909939
"TG.49.0.FA18.0","3a7b",-0.205838196410528,0.581396597585948
"TG.49.1.FA14.0","3a7b",-0.332598821148461,0.413027614099426
"TG.49.1.FA15.0","3a7b",-0.354949028297307,0.191076776524992
"TG.49.1.FA16.0","3a7b",-0.338248156876916,0.223287460967223
"TG.49.1.FA16.1","3a7b",-0.245186473398897,0.446440854475919
"TG.49.1.FA17.0","3a7b",-0.310245781680973,0.400366478885234
"TG.49.1.FA18.1","3a7b",-0.336813821704295,0.225967757594701
"TG.49.2.FA14.0","3a7b",-0.170291992932203,0.783204182290893
"TG.49.2.FA15.0","3a7b",-0.350223520151463,0.200172649545737
"TG.49.2.FA16.0","3a7b",-0.291503855821411,0.32515362383385
"TG.49.2.FA16.1","3a7b",-0.33784564542236,0.233303108038579
"TG.49.2.FA17.0","3a7b",-0.282372168881494,0.59630403455286
"TG.49.2.FA18.1","3a7b",-0.402548433473985,0.132181313618312
"TG.49.2.FA18.2","3a7b",-0.144066068455776,0.752651793452815
"TG.49.3.FA15.0","3a7b",-0.591023396532367,0.0193530385493352
"TG.49.3.FA16.0","3a7b",-0.162221020816872,0.79303660604514
"TG.49.3.FA16.1","3a7b",-0.281507525717145,0.36972098038859
"TG.49.3.FA18.2","3a7b",-0.330359346101114,0.291060299256842
"TG.49.3.FA18.3","3a7b",0,1
