"Liver_lipid","Liver_ba","bicor","adj_pval"
"TG.54.4.FA20.2","TLCA",0.676495847503224,1.0566846837457e-06
"TG.54.4.FA20.3","TLCA",0.624482375706758,1.12776730321207e-05
"TG.54.4.FA20.4","TLCA",0.403386344772178,0.0177646126000597
"TG.54.4.FA22.1","TLCA",0.689663736767362,5.0771045931231e-07
"TG.54.4.FA22.4","TLCA",0.462019259178195,0.00386544163551236
"TG.54.5.FA16.0","TLCA",0.463711064526468,0.00367553364336289
"TG.54.5.FA16.1","TLCA",0.624374902664544,1.12873719663973e-05
"TG.54.5.FA18.0","TLCA",0.0704498808115372,0.788640159117481
"TG.54.5.FA18.1","TLCA",0.311719089346922,0.0797803914245792
"TG.54.5.FA18.2","TLCA",0.196364945309707,0.352680998724103
"TG.54.5.FA18.3","TLCA",0.656036942386234,3.05275372398063e-06
"TG.54.5.FA20.2","TLCA",0.652590728716418,3.39155045513884e-06
"TG.54.5.FA20.3","TLCA",0.588895614656648,4.8378562800652e-05
"TG.54.5.FA20.4","TLCA",0.414326058170363,0.0138028680183173
"TG.54.5.FA20.5","TLCA",0.0737359871108547,0.776979935173252
"TG.54.5.FA22.1","TLCA",0.246581053806142,0.204380565425785
"TG.54.5.FA22.4","TLCA",0.439612248318702,0.00721473559916703
"TG.54.5.FA22.5","TLCA",0.456129035046356,0.00457353065231416
"TG.54.6.FA16.0","TLCA",0.154269251738951,0.494314303893048
"TG.54.6.FA16.1","TLCA",0.469964381648686,0.00305959911649645
"TG.54.6.FA18.1","TLCA",0.183338020924018,0.397927107777796
"TG.54.6.FA18.2","TLCA",-0.058109229083155,0.834101163958571
"TG.54.6.FA18.3","TLCA",0.0987756908327697,0.679085550023099
"TG.54.6.FA20.3","TLCA",0.603802102230742,2.75301942850944e-05
"TG.54.6.FA20.4","TLCA",0.103848169338875,0.660668321357152
"TG.54.6.FA20.5","TLCA",-0.02300294297481,0.957113682593565
"TG.54.6.FA22.5","TLCA",0.37131681656357,0.0320230826147069
"TG.54.6.FA22.6","TLCA",0.506060071932251,0.000981433803686733
"TG.54.7.FA16.1","TLCA",0.377990547251986,0.0287449924569919
"TG.54.7.FA18.1","TLCA",0.367881489134917,0.0335890617489873
"TG.54.7.FA18.2","TLCA",-0.310219735678166,0.0816695248271922
"TG.54.7.FA18.3","TLCA",-0.212914752702856,0.310019732769879
"TG.54.7.FA20.4","TLCA",-0.208843051145593,0.310154450135347
"TG.54.7.FA20.5","TLCA",0.0209989325047614,0.963824342838489
"TG.54.7.FA22.5","TLCA",0.238212024482458,0.227023581290085
"TG.54.7.FA22.6","TLCA",0.385077164662508,0.0254263086942244
"TG.54.8.FA18.2","TLCA",0.169608397170428,0.487184210200965
"TG.54.8.FA18.3","TLCA",0.266460758550802,0.335781347684264
"TG.54.8.FA20.4","TLCA",-0.448507776801591,0.0692159068691765
"TG.54.8.FA20.5","TLCA",0.0642944086937231,0.816936505081006
"TG.54.8.FA22.6","TLCA",-0.0158866529011185,0.981835878636735
"TG.55.1.FA16.0","TLCA",0.0729611554390764,0.780147694078962
"TG.55.1.FA18.1","TLCA",0.602738852986768,2.88513319315922e-05
"TG.55.2.FA18.1","TLCA",0.667764062773799,1.68096524320735e-06
"TG.55.2.FA18.2","TLCA",0.16173977512025,0.470096895170113
"TG.55.3.FA18.1","TLCA",0.672542281838151,1.30814088401498e-06
"TG.55.3.FA18.2","TLCA",0.577825075849877,7.33131960374708e-05
"TG.55.4.FA18.1","TLCA",0.586718226388814,5.26742718501881e-05
"TG.55.4.FA18.2","TLCA",0.59994195180255,3.21599107069662e-05
"TG.55.5.FA18.1","TLCA",0.530329762798327,0.000430639382896403
"TG.55.5.FA18.2","TLCA",0.0732161565794172,0.779194523384477
"TG.55.5.FA20.4","TLCA",0.306095266530936,0.0865343771236264
"TG.55.7.FA15.0","TLCA",0.546553171410827,0.00023908143317199
"TG.55.7.FA22.6","TLCA",0.176096267025717,0.425307471755317
"TG.56.1.FA16.0","TLCA",0.595155380002472,3.89321003483902e-05
"TG.56.1.FA18.1","TLCA",0.6293183526189,8.99187521836196e-06
"TG.56.10.FA18.2","TLCA",0.577828489735275,7.33131960374708e-05
"TG.56.2.FA16.0","TLCA",0.651448601367406,3.53897152183103e-06
