"Plasma_lipid","Liver_ba","bicor","adj_pval"
"TG.46.1.FA18.0","a-MCA",-0.437054120230294,0.31222485982036
"TG.46.1.FA18.1","a-MCA",-0.051508705004358,0.961285747125214
"TG.46.2.FA12.0","a-MCA",0.0169164440816769,1
"TG.46.2.FA14.0","a-MCA",0.00881928677867052,1
"TG.46.2.FA14.1","a-MCA",0.188282332870052,0.629110495468633
"TG.46.2.FA16.0","a-MCA",0.0486789112184686,0.964154542928355
"TG.46.2.FA16.1","a-MCA",0.113912903288582,0.806452146233477
"TG.46.2.FA18.1","a-MCA",-0.0741127235477054,0.897152033428746
"TG.46.2.FA18.2","a-MCA",-0.0890379616952343,0.878788649367081
"TG.46.3.FA12.0","a-MCA",-0.165663182375103,0.7270723004907
"TG.46.3.FA14.0","a-MCA",0.426375347885996,0.819802774908862
"TG.46.3.FA14.1","a-MCA",0.219580549854302,0.752906936016056
"TG.46.3.FA16.0","a-MCA",-0.235304915971931,0.585533235777285
"TG.46.3.FA16.1","a-MCA",0.0703304732670291,0.942375643265723
"TG.46.3.FA18.1","a-MCA",-0.284155542532831,0.407894938653829
"TG.46.3.FA18.2","a-MCA",-0.00678763312247579,1
"TG.46.3.FA18.3","a-MCA",-0.322897068581288,0.737159381432832
"TG.46.4.FA18.2","a-MCA",0.14790607647472,0.933098913607662
"TG.47.0.FA14.0","a-MCA",-0.301451267362774,0.439035216362801
"TG.47.0.FA15.0","a-MCA",-0.105957937737761,0.822638425492956
"TG.47.0.FA16.0","a-MCA",-0.158301271504145,0.626101519459424
"TG.47.0.FA17.0","a-MCA",-0.245553041826139,0.499565594243149
"TG.47.1.FA14.0","a-MCA",-0.114397113004462,0.849404436647463
"TG.47.1.FA15.0","a-MCA",-0.039477288552493,1
"TG.47.1.FA16.0","a-MCA",-0.00686973460356281,1
"TG.47.1.FA16.1","a-MCA",0.128644925390946,0.766530177902352
"TG.47.1.FA17.0","a-MCA",-0.443892758552241,0.540941629382523
"TG.47.1.FA18.1","a-MCA",-0.186602870729838,0.604180238867909
"TG.47.2.FA14.0","a-MCA",-0.232393702139405,0.787922253081313
"TG.47.2.FA15.0","a-MCA",-0.0558182015607681,0.985845378510354
"TG.47.2.FA16.1","a-MCA",0.309160635795355,0.364149229366336
"TG.47.2.FA18.1","a-MCA",-0.100010397449975,0.872849127063202
"TG.47.2.FA18.2","a-MCA",-0.114589826815382,0.897676210947369
"TG.48.0.FA14.0","a-MCA",-0.200634489506526,0.54094238189735
"TG.48.0.FA16.0","a-MCA",-0.136612308223082,0.702521451431354
"TG.48.0.FA18.0","a-MCA",-0.328346826448737,0.236221850328004
"TG.48.1.FA12.0","a-MCA",-0.194337691703944,0.693454655487426
"TG.48.1.FA14.0","a-MCA",-0.0442776996380828,0.97424572182169
"TG.48.1.FA14.1","a-MCA",0.0081908389829102,1
"TG.48.1.FA16.0","a-MCA",0.0224055236321581,1
"TG.48.1.FA16.1","a-MCA",0.0631604827887014,0.923130747204707
"TG.48.1.FA18.0","a-MCA",-0.217487786710408,0.56923070974739
"TG.48.1.FA18.1","a-MCA",-0.101488890066995,0.810157373258986
"TG.48.2.FA12.0","a-MCA",-0.110307559691096,0.802055570029508
"TG.48.2.FA14.0","a-MCA",0.0487128078551277,0.961147807845952
"TG.48.2.FA14.1","a-MCA",0.0523554757800781,0.953598251143328
"TG.48.2.FA16.0","a-MCA",0.056069392594449,0.942900433155283
"TG.48.2.FA16.1","a-MCA",0.0697082960425793,0.904844435658806
"TG.48.2.FA18.0","a-MCA",-0.159633765910411,0.789580083236945
"TG.48.2.FA18.1","a-MCA",-0.00697403529052626,1
"TG.48.2.FA18.2","a-MCA",-0.0166674934330065,1
"TG.48.3.FA12.0","a-MCA",0.0501897131523722,0.973047579615082
"TG.48.3.FA14.0","a-MCA",0.00984742428470586,1
"TG.48.3.FA14.1","a-MCA",0.0345733769688736,0.998116505518461
"TG.48.3.FA16.0","a-MCA",0.0790890898195597,0.889279146904628
"TG.48.3.FA16.1","a-MCA",0.0923737384516927,0.83762162850123
"TG.48.3.FA18.1","a-MCA",-0.00876679404795156,1
"TG.48.3.FA18.2","a-MCA",0.026849982902389,1
"TG.48.3.FA18.3","a-MCA",0.0977638313970327,0.878884422915676
"TG.48.4.FA12.0","a-MCA",-0.255765498182905,0.56177538048293
"TG.48.4.FA14.0","a-MCA",0,1
"TG.48.4.FA14.1","a-MCA",0.0441836641594998,1
"TG.48.4.FA16.0","a-MCA",-0.385340669727848,0.370562797000778
"TG.48.4.FA16.1","a-MCA",0.114543906233976,0.832419983525413
"TG.48.4.FA18.1","a-MCA",-0.390134064449373,0.303582292913213
"TG.48.4.FA18.2","a-MCA",0.110024078326806,0.839030232015296
"TG.48.4.FA18.3","a-MCA",0.12028980815722,0.935374154816798
"TG.48.5.FA18.2","a-MCA",0.0130425612152868,1
"TG.48.5.FA18.3","a-MCA",1,NA
"TG.49.0.FA15.0","a-MCA",-0.15762298090547,0.686721922930533
"TG.49.0.FA16.0","a-MCA",-0.142785980227896,0.678461598231606
"TG.49.0.FA17.0","a-MCA",-0.247342414565712,0.391996270189743
"TG.49.0.FA18.0","a-MCA",-0.107213602046176,0.806897651442274
"TG.49.1.FA14.0","a-MCA",-0.257055736076299,0.474534509953626
"TG.49.1.FA15.0","a-MCA",-0.0541829017758267,0.948756285192857
"TG.49.1.FA16.0","a-MCA",-0.0329972488194937,1
"TG.49.1.FA16.1","a-MCA",-0.0612399322864971,0.927497289355852
"TG.49.1.FA17.0","a-MCA",-0.0192884034793358,1
"TG.49.1.FA18.1","a-MCA",-0.0922463970813829,0.838063439206089
"TG.49.2.FA14.0","a-MCA",0.02088893892718,1
"TG.49.2.FA15.0","a-MCA",0.069765909573673,0.904756163165097
"TG.49.2.FA16.0","a-MCA",0.0953173791372299,0.828991965518416
"TG.49.2.FA16.1","a-MCA",0.0291696252163783,1
"TG.49.2.FA17.0","a-MCA",0.086291311722539,0.922095180832636
"TG.49.2.FA18.1","a-MCA",-0.0638539171649279,0.924412016003951
"TG.49.2.FA18.2","a-MCA",-0.0461835548424898,0.970672097768405
"TG.49.3.FA15.0","a-MCA",0.0865448214780432,0.89164862326278
"TG.49.3.FA16.0","a-MCA",-0.0482939503950437,0.993466721536652
"TG.49.3.FA16.1","a-MCA",0.105922287682203,0.805744381417298
"TG.49.3.FA18.2","a-MCA",0.169196533922975,0.650637942010524
"TG.49.3.FA18.3","a-MCA",-0.878883925550717,0.69788217408722
"TG.50.0.FA14.0","a-MCA",-0.361055991116856,0.283508293039115
"TG.50.0.FA16.0","a-MCA",-0.150121179691275,0.651499470506714
"TG.50.0.FA18.0","a-MCA",-0.189753901265595,0.533363652257385
"TG.50.1.FA14.0","a-MCA",-0.172790441867435,0.598446231619679
"TG.50.1.FA16.0","a-MCA",-0.0378828739061521,0.989946106960968
"TG.50.1.FA16.1","a-MCA",-0.00595848745540137,1
"TG.50.1.FA18.0","a-MCA",-0.122457457729889,0.74550857551574
"TG.50.1.FA18.1","a-MCA",-0.0766544650395085,0.88398230330563
"TG.50.1.FA20.1","a-MCA",-0.233607806837401,0.497454313450373
"TG.50.2.FA14.0","a-MCA",-0.0710398553014968,0.900390802580362
"TG.50.2.FA14.1","a-MCA",-0.135647263691078,0.776438093598742
"TG.50.2.FA16.0","a-MCA",0.061329182788922,0.927281465112
"TG.50.2.FA16.1","a-MCA",0.0202332469879529,1
"TG.50.2.FA18.0","a-MCA",-0.0997448061571995,0.823904228569063
"TG.50.2.FA18.1","a-MCA",-0.0124223428813252,1
"TG.50.2.FA18.2","a-MCA",-0.0501517973382549,0.958267291518214
"TG.50.2.FA20.2","a-MCA",NA,NA
"TG.50.3.FA14.0","a-MCA",-0.0042612258348224,1
