"Plasma_lipid","Biliary_ba","bicor","adj_pval"
"PC.18.0_22.6","3b7a12a",0.0649275605540472,0.888370359409642
"PC.18.1_18.1","3b7a12a",-0.310942625559556,0.0996283564874033
"PC.18.1_18.2","3b7a12a",-0.479075046768086,0.00412438458521219
"PC.18.1_18.3","3b7a12a",-0.34339395743946,0.109397016683946
"PC.18.1_20.0","3b7a12a",-0.393144205682624,0.0259195719487762
"PC.18.1_20.1","3b7a12a",0.0443817296849137,0.958129576366759
"PC.18.1_20.2","3b7a12a",-0.0130049061698367,1
"PC.18.1_20.3","3b7a12a",-0.260947967887176,0.190332667704155
"PC.18.1_20.4","3b7a12a",-0.220991745324071,0.296955456538398
"PC.18.1_20.5","3b7a12a",-0.434628054124229,0.176971664577854
"PC.18.1_22.4","3b7a12a",NA,NA
"PC.18.1_22.5","3b7a12a",0.339344206642193,0.420917745239453
"PC.18.1_22.6","3b7a12a",-0.1418456483668,0.639788392889891
"PC.18.2_18.2","3b7a12a",0.190452163946842,0.392668904307848
"PC.18.2_18.3","3b7a12a",0.142579240179369,0.884649937458383
"PC.18.2_20.0","3b7a12a",0.0237755676497993,1
"PC.18.2_20.1","3b7a12a",-0.0955949571441721,0.760066639170809
"PC.18.2_20.2","3b7a12a",-0.224062845752824,0.547183573302699
"PC.18.2_20.3","3b7a12a",-0.308770197405668,0.124044441705191
"PC.18.2_20.4","3b7a12a",-0.197417955973937,0.422099901903765
"PC.18.2_20.5","3b7a12a",NA,NA
"PC.18.2_22.6","3b7a12a",-0.607886515079046,0.119260182227532
"PC.20.0_20.1","3b7a12a",NA,NA
"PC.20.0_20.3","3b7a12a",-0.635828704271944,0.639788392889891
"PC.20.0_20.4","3b7a12a",-0.466174416753502,0.12293292575754
"PE.14.0_16.0","3b7a12a",NA,NA
"PE.14.0_18.0","3b7a12a",NA,NA
"PE.14.0_18.1","3b7a12a",NA,NA
"PE.14.1_18.1","3b7a12a",NA,NA
"PE.16.0_16.0","3b7a12a",NA,NA
"PE.16.0_16.1","3b7a12a",NA,NA
"PE.16.0_18.0","3b7a12a",NA,NA
"PE.16.0_18.1","3b7a12a",NA,NA
"PE.16.1_18.1","3b7a12a",NA,NA
"PE.18.0_18.0","3b7a12a",NA,NA
"PE.18.0_18.1","3b7a12a",NA,NA
"PE.18.0_20.1","3b7a12a",NA,NA
"PE.18.1_18.1","3b7a12a",NA,NA
"PE.18.1_22.0","3b7a12a",NA,NA
"PE.O.16.0.16.0","3b7a12a",NA,NA
"PE.O.18.0.16.0","3b7a12a",NA,NA
"PE.O.18.0.18.1","3b7a12a",NA,NA
"PE.P.16.0.16.0","3b7a12a",NA,NA
"PE.P.16.0.18.1","3b7a12a",NA,NA
"PE.P.16.1.18.1","3b7a12a",NA,NA
"PE.P.18.0.16.0","3b7a12a",NA,NA
"PE.P.18.0.18.0","3b7a12a",NA,NA
"PE.P.18.0.18.1","3b7a12a",NA,NA
"PE.P.18.1.16.0","3b7a12a",NA,NA
"SM.d18.1.14.0","3b7a12a",-0.434104518965517,0.011467539887593
"SM.d18.1.16.0","3b7a12a",-0.30535107194733,0.107219249122412
"SM.d18.1.18.0","3b7a12a",-0.396232570338196,0.0246067658251649
"SM.d18.1.18.1","3b7a12a",-0.390103566838717,0.0273303676087351
"SM.d18.1.20.0","3b7a12a",-0.261768099429619,0.188308951955021
"SM.d18.1.20.1","3b7a12a",-0.434608031436198,0.0113869035508036
"SM.d18.1.22.0","3b7a12a",-0.40653131089618,0.0200533369754759
"SM.d18.1.22.1","3b7a12a",-0.36149429220783,0.0459090869586007
"SM.d18.1.24.0","3b7a12a",-0.0740621849912692,0.837624723741824
"SM.d18.1.24.1","3b7a12a",0.0436731760814811,0.947800370135765
"SM.d18.1.26.0","3b7a12a",-0.285291480564996,0.138856158889773
"SM.d18.1.26.1","3b7a12a",-0.341710997259278,0.0635417586361573
"TG.36.0.FA12.0","3b7a12a",-0.261859589597915,0.188170386379315
"TG.38.0.FA12.0","3b7a12a",-0.449509096812213,0.0124901497337551
"TG.40.0.FA12.0","3b7a12a",-0.161543660980712,0.669042737813331
"TG.40.0.FA14.0","3b7a12a",-0.24648336846071,0.516511927758074
"TG.40.0.FA16.0","3b7a12a",-0.162217201614871,0.67539178200442
"TG.42.0.FA12.0","3b7a12a",-0.302576712718301,0.403599559655271
"TG.42.0.FA14.0","3b7a12a",-0.258189621002613,0.388609099992356
"TG.42.0.FA16.0","3b7a12a",-0.376786418691703,0.113709478010767
"TG.42.1.FA12.0","3b7a12a",0.10689061936694,0.949148643530468
"TG.42.1.FA14.0","3b7a12a",-0.342417807512626,0.436760852559474
"TG.42.1.FA16.0","3b7a12a",-0.486004034087092,0.0927760636296798
"TG.42.1.FA16.1","3b7a12a",-0.253899260077729,0.830379772331562
"TG.42.1.FA18.1","3b7a12a",-0.267914764441469,0.438205382522697
"TG.42.2.FA18.2","3b7a12a",-0.686537157844431,0.342670415017278
"TG.44.0.FA12.0","3b7a12a",-0.418584282073207,0.108546166377588
"TG.44.0.FA14.0","3b7a12a",-0.336960248512193,0.157353811149813
"TG.44.0.FA16.0","3b7a12a",-0.506315030209056,0.00698766684821785
"TG.44.0.FA18.0","3b7a12a",-0.186055780695265,0.681122940758227
"TG.44.1.FA12.0","3b7a12a",-0.254268197213619,0.421800716763033
"TG.44.1.FA14.0","3b7a12a",-0.319933277100158,0.225244294215205
"TG.44.1.FA14.1","3b7a12a",-0.476420299906994,0.317951677415167
"TG.44.1.FA16.0","3b7a12a",-0.537852452555885,0.0030440537057391
"TG.44.1.FA16.1","3b7a12a",-0.523154007662417,0.0553553897233239
"TG.44.1.FA18.1","3b7a12a",-0.404105394188094,0.063733167700133
"TG.44.2.FA12.0","3b7a12a",-0.297742688411147,0.595821473571764
"TG.44.2.FA14.0","3b7a12a",-0.512373617056254,0.23371801856642
"TG.44.2.FA16.0","3b7a12a",-0.135636237393662,0.710294261349737
"TG.44.2.FA16.1","3b7a12a",-0.344961750600025,0.315374685729687
"TG.44.2.FA18.1","3b7a12a",-0.40648713424323,0.151988606737686
"TG.44.2.FA18.2","3b7a12a",-0.591104790081496,0.0980734059543178
"TG.44.3.FA18.2","3b7a12a",1,NA
"TG.45.0.FA14.0","3b7a12a",-0.374735264163314,0.167569019213237
"TG.45.0.FA15.0","3b7a12a",-0.300458690680462,0.335938133446402
"TG.45.0.FA16.0","3b7a12a",-0.517939522484582,0.0086869074152334
"TG.45.1.FA15.0","3b7a12a",-0.170037053164813,0.77789744543143
"TG.45.1.FA16.0","3b7a12a",-0.278670018650113,0.360451070136045
"TG.45.1.FA18.1","3b7a12a",-0.334299675550521,0.320529866890646
"TG.46.0.FA12.0","3b7a12a",-0.182791997916979,0.626789579664585
"TG.46.0.FA14.0","3b7a12a",-0.54496932579198,0.00164363963383429
"TG.46.0.FA16.0","3b7a12a",-0.568139121095771,0.000648713430099679
"TG.46.0.FA18.0","3b7a12a",-0.230130888218112,0.472917515423345
"TG.46.1.FA12.0","3b7a12a",-0.568357086960755,0.00090237674196977
"TG.46.1.FA14.0","3b7a12a",-0.582997634874289,0.000915250035283362
"TG.46.1.FA14.1","3b7a12a",-0.376737359569822,0.11375983733187
"TG.46.1.FA16.0","3b7a12a",-0.591553628128516,0.000527008758050496
"TG.46.1.FA16.1","3b7a12a",-0.427464288477624,0.0282120392466813
"TG.46.1.FA18.0","3b7a12a",-0.236415189662558,0.572636009546502
"TG.46.1.FA18.1","3b7a12a",-0.542889180836652,0.00172830317910868
"TG.46.2.FA12.0","3b7a12a",-0.488508153468967,0.0049624459783689
"TG.46.2.FA14.0","3b7a12a",-0.480751472185868,0.00963222305526744
"TG.46.2.FA14.1","3b7a12a",-0.392798214461353,0.0736293896854458
"TG.46.2.FA16.0","3b7a12a",-0.547020532808284,0.00104873860569859
"TG.46.2.FA16.1","3b7a12a",-0.448250812864033,0.0179598921414105
"TG.46.2.FA18.1","3b7a12a",-0.55794944670977,0.000918120185347061
"TG.46.2.FA18.2","3b7a12a",-0.474742014562324,0.0143844136808724
"TG.46.3.FA12.0","3b7a12a",-0.22578348140087,0.444004114333218
"TG.46.3.FA14.0","3b7a12a",0.378668451831886,0.789823751388978
"TG.46.3.FA14.1","3b7a12a",-0.0321991250331072,1
"TG.46.3.FA16.0","3b7a12a",-0.125723318332952,0.773043262961501
"TG.46.3.FA16.1","3b7a12a",-0.449010424507939,0.0425897492652525
"TG.46.3.FA18.1","3b7a12a",-0.47085981951891,0.0274556228507554
"TG.46.3.FA18.2","3b7a12a",-0.362875304464692,0.20982790985719
"TG.46.3.FA18.3","3b7a12a",0.153629268780401,0.893066150142753
"TG.46.4.FA18.2","3b7a12a",0.0086112936946636,1
"TG.47.0.FA14.0","3b7a12a",-0.463541891933921,0.0602732228806819
"TG.47.0.FA15.0","3b7a12a",-0.459569143626831,0.013304500472825
"TG.47.0.FA16.0","3b7a12a",-0.491598985040414,0.0030440537057391
"TG.47.0.FA17.0","3b7a12a",-0.0797000537838989,0.870954722721701
"TG.47.1.FA14.0","3b7a12a",-0.317189375391565,0.220734377823933
"TG.47.1.FA15.0","3b7a12a",-0.49790398698789,0.0114399998420384
"TG.47.1.FA16.0","3b7a12a",-0.609934728691034,0.000527008758050496
"TG.47.1.FA16.1","3b7a12a",-0.513949801617926,0.00536075729201615
"TG.47.1.FA17.0","3b7a12a",-0.101509633535274,0.955846361136353
"TG.47.1.FA18.1","3b7a12a",-0.619207762280218,0.000665071586416953
"TG.47.2.FA14.0","3b7a12a",-0.473591306877496,0.262867060051816
"TG.47.2.FA15.0","3b7a12a",-0.180514788978764,0.623811034990542
"TG.47.2.FA16.1","3b7a12a",-0.402516225684795,0.0796142344318476
"TG.47.2.FA18.1","3b7a12a",-0.478995644872376,0.0267557284001717
"TG.47.2.FA18.2","3b7a12a",-0.528383106679263,0.0587272564920705
